game_id,transcript,result,player_one,player_two,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken
1695410287-2414,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 e5
2. Nf3 d6
3. d4 Nd7
4. Nc3 Be7
5. Bc4 c6
6. O-O Ngf6
7. a4 O-O
8. Re1 Re8
9. h3 Qc7
10. Ba2 Nf8
11. Ng5 d5
12. exd5 exd4
13. d6 Qxd6
14. Bxf7+ Kh8
15. Bxe8 Qc5
16. Nce4 Qd5
17. Bf7 Qf5
18. g4 Qd7
19. Bb3 Bb4
20. Nf7+ Qxf7
21. Bxf7 Bxe1
22. Nxf6 Bxf2+
23. Kxf2 Bf5
24. gxf5 Ng6
25. fxg6 Rc8
26. Nxh7 Rd8
27. Bg5 Ra8
28. Qh5
28. b6
29. Nf6",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,10,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,29,17.15897798538208
1695410310-3441,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 e6
2. d4 d5
3. Nc3 Bb4
4. e5 c5
5. a3 Bxc3+
6. bxc3 Qc7
7. Qg4 Kf8
8. Bd3 Qa5
9. Bd2 c4
10. Be2 h5
11. Qg3 Ne7
12. Nf3 Bd7
13. O-O Qd8
14. Bg5 Ba4
15. Bd1 Ke8
16. Nh4 Qd7
17. Bxe7 Qxe7
18. Qxg7 Qf8
19. Qxf8+ Rxf8
20. f4 Bb5
21. f5 b6
22. Bxh5 Bd7
23. fxe6 Bxe6
24. Rf6 Kd7
25. Raf1 Nc6
26. Bxf7 Nd8
27. Bxe6+ Nxe6
28. Rxf8 Rxf8
29. Rxf8 Nxf8
30. g4 b5
31. Kf2 Ne6
32. Kg3 Nxd4
33. cxd4 Kc6
34. g5 c3
35. g6 a6
36. g7 b4
37. g8=Q bxa3
38. Qe6+ Kb7
39. Qxd5+ Kb8
40. Qb3+ Kc8
41. Qxc3+ Kb8
42. Qxa3 Kb7
43. e6 Kc7
44. e7 Kd7
45. Qc5 Ke8
46. d5 Kd7
47. d6 Ke8
48. Qc8+ Kf7
49. e8=Q+ Kf6
50. Qce6+ Kg5
51. Q8g6#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,51,23.03339695930481
1695410328-7852,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 c5
2. Nf3 d6
3. d4 Bg4
4. dxc5 Nc6
5. cxd6 Bxf3
6. Qxf3 Nf6
7. dxe7 Bxe7
8. Bb5 O-O
9. Bxc6 bxc6
10. O-O Bd6
11. Bg5 Qc7
12. Bxf6 gxf6
13. g3 Rfe8
14. Nc3 Qb6
15. b3 Qa5
16. Rad1 Be5
17. Rd3 Rad8
18. Rfd1 h6
19. Qg4+ Kh7
20. Qf5+ Kg8
21. Na4 Rxd3
22. Rxd3 h5
23. Qxh5 Qe1+
24. Kg2 Qxe4+
25. Qf3 Qxf3+
26. Kxf3 f5
27. Re3 c5
28. Nxc5 Rc8
29. Rxe5 a6
30. Rxf5 Kh7
31. Rxf7+ Kg8
32. Rf5 Kh8
33. h4 Kg7
34. g4 Kg8
35. h5 a5
36. g5 Rf8
37. Rxf8+ Kxf8
38. h6 Ke7
39. h7 Kf7
40. h8=Q Kg6
41. Qf6+ Kh5
42. Qh6#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,42,18.117398023605347
1695410346-1884,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 c5
2. Nf3 d6
3. d4 Nf6
4. Nc3 Nc6
5. d5 Ne5
6. Nxe5 dxe5
7. Bg5 Bd7
8. Qf3 a6
9. Qg3 b5
10. Qxe5 b4
11. Ne2 h6
12. Bxf6 gxf6
13. Qf4 e6
14. O-O-O h5
15. Kb1 e5
16. Qe3 c4
17. f4 Rc8
18. fxe5 fxe5
19. Ng3 Bg4
20. Be2 Bd7
21. Nxh5 Bc5
22. Qg3 Bd4
23. Qg7 Rxh5
24. Bxh5 Ke7
25. Qxf7+ Kd6
26. Rhf1 b3
27. Rf6+ Qxf6
28. Qxf6+ Kc7
29. cxb3 Bc5
30. Qxe5+ Bd6
31. Qd4 Rb8
32. Qxc4+ Kb6
33. Rc1 a5
34. Qd4+ Ka6
35. Be2+ Rb5
36. a4 Bb4
37. axb5+ Kb7
38. Qg7 Bd2
39. Qxd7+ Ka8
40. Rc8#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,40,17.532923936843872
1695410371-6453,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 d5
2. exd5 e6
3. dxe6 Bxe6
4. Nf3 Nc6
5. Nc3 Qd7
6. d4 O-O-O
7. Be3 a6
8. Bd3 Nge7
9. O-O h6
10. Ne4 Nf5
11. c3 f6
12. b4 Nxe3
13. fxe3 f5
14. Nc5 Bxc5
15. bxc5 Rhf8
16. Qe2 Bd5
17. Rab1 Be4
18. Bxa6 Bxb1
19. Rxb1 Na5
20. Ne5 Qd5
21. Qb5 Qe4
22. Qxa5 Qxb1+
23. Kf2 Rf6
24. Bd3 Qb2+
25. Kf3 Kb8
26. c6 Rfd6
27. cxb7 Kxb7
28. Nc4 Ra6
29. Qxa6+ Kxa6
30. Nxb2+ Kb6
31. Nc4+ Ka6
32. Nd6+ Kb6
33. Nxf5 Rf8
34. Ke4 Rh8
35. Nxg7 Rg8
36. Nf5 Rxg2
37. Nxh6 Rg6
38. Nf5 Rg4+
39. Kf3 Rg5
40. h4 Rg8
41. h5 Ka7
42. h6 Re8
43. h7 Rh8
44. Ne7 Re8
45. Ng6 Rd8
46. h8=Q Rb8
47. Qxb8+ Kxb8
48. e4 Kc8
49. e5 c6
50. e6 Kc7
51. e7 Kd6
52. e8=Q Kc7
53. Qe7+ Kb8
54. Ba6 Ka8
55. Qb7#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,55,24.974326848983765
1695410382-8335,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 d5
2. exd5 Qxd5
3. Nc3 Qa5
4. d4 Nf6
5. Nf3 Ne4
6. Bd3 Nxc3
7. bxc3 a6
8. O-O Bg4
9. Rb1 g6
10. Rxb7 e6
11. Bf4 Nc6
12. Rxc7 Qb6
13. Be4 Bxf3
14. Qxf3 Nxd4
15. cxd4 g5
16. Bc6+ Kd8
17. Rd7+ Kc8
18. Bc7 Bc5
19. Bxb6 Bd6
20. Qxf7 Bxh2+
21. Kxh2 h6
22. Qxe6 Ra7
23. Rxa7+ Kb8
24. Qd6+ Kc8
25. Bd7#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,25,10.793117046356201
1695410395-6950,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 c5
2. Nf3 e6
3. d4 cxd4
4. Nxd4 d6
5. Nc3 Be7
6. Be3 Bd7
7. Qd2 a6
8. O-O-O h5
9. f4 Nf6
10. h3 b5
11. Bd3 Qa5
12. Kb1 Nc6
13. Nb3 Qc7
14. g4 hxg4
15. hxg4 Rxh1
16. Rxh1 Bf8
17. g5 Ng4
18. Bg1 Qb7
19. Qg2 f5
20. exf5 exf5
21. Nd5 O-O-O
22. Nb6+ Kc7
23. Nxd7 Qb8
24. Nxb8 Kxb8
25. Qxc6 Nf2
26. Bxf2 Rc8
27. Qb6+ Ka8
28. Qa7#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,28,13.88236117362976
1695410412-7083,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 c5
2. Nf3 e6
3. d4 cxd4
4. Nxd4 a6
5. Bd3 Qa5+
6. Nc3 Bb4
7. Bd2 Qc7
8. O-O d6
9. Ncb5 Qa5
10. Nxd6+ Kd7
11. Nc4 Qc7
12. Bxb4 Nc6
13. Nxc6 Kxc6
14. Bd6 Bd7
15. Bxc7 Kxc7
16. Ne5 Ne7
17. Nxf7 Rhc8
18. Ne5 Ba4
19. b3 Nc6
20. Nxc6 Bxc6
21. Qg4 b5
22. Qxg7+ Kb8
23. Qxh7 Ra7
24. Qh5 Rg8
25. Qe5+ Ka8
26. Qxe6 Rb8
27. Qxc6+ Rbb7
28. e5 Kb8
29. Be4 Rd7
30. Rad1 Ra8
31. Rxd7 Ra7
32. Qb6+ Kc8
33. Qd8#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,33,16.362834930419922
1695410434-2778,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 d5
2. exd5 e6
3. dxe6 Bxe6
4. Nf3 Bc5
5. d4 Bd6
6. c4 Bb4+
7. Nc3 c6
8. Be2 Ne7
9. O-O Bxc3
10. bxc3 O-O
11. Ba3 Bg4
12. Re1 Re8
13. Ne5 Bf5
14. Bh5 g6
15. Bg4 h5
16. Bxf5 Nxf5
17. Qf3 f6
18. Nxg6 Nxd4
19. Rxe8+ Qxe8
20. cxd4 Qxg6
21. Re1 c5
22. Bxc5 Na6
23. Qxb7 Rb8
24. Qxa6 Re8
25. Rxe8+ Qxe8
26. h3 f5
27. Qxa7 Qe1+
28. Kh2 Qxf2
29. Qb8+ Kh7
30. Qc7+ Kg8
31. Qd8+ Kh7
32. Qe7+ Kh8
33. Qf8+ Kh7
34. Qf7+ Kh8
35. Bd6 Qxd4
36. Qxh5+ Kg7
37. Qg5+ Kh7
38. Qxf5+ Kg8
39. Qg6+ Kh8
40. Qh5+ Kg7
41. Be5+ Qxe5+
42. Qxe5+ Kf7
43. c5 Kg6
44. c6 Kh6
45. c7 Kg6
46. c8=Q Kh6
47. Qce6+ Kh7
48. Qc7+ Kh8
49. Qec8#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,49,21.862546920776367
1695410449-4128,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[White Title ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId""4168119""]
[TimeControl40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard']
1. e4 d6
2. d4 e5
3. Nf3 exd4
4. Nxd4 a6
5. Nc3 Nf6
6. Bg5 Be7
7. Qd2 c5
8. Nf3 O-O
9. O-O-O b5
10. Bxf6 Bxf6
11. Qxd6 Nd7
12. Nd5 c4
13. Nxf6+ gxf6
14. Nd4 Ne5
15. Qxd8 Nd3+
16. cxd3 Rxd8
17. dxc4 Bg4
18. f3 Be6
19. Nxe6 Rdb8
20. Nc7 Ra7
21. Nd5 Rba8
22. cxb5 f5
23. b6 Rc8+
24. Kb1 Kg7
25. bxa7 fxe4
26. Nb6 Rc6
27. a8=Q Rxb6
28. Qxe4 Rb5
29. Bxb5 h6
30. Rd7 Kg8
31. Qe8+ Kh7
32. Qxf7+ Kh8
33. Qg7#",1-0,gpt-3.5-turbo-instruct,Stockfish 0,1,0,0,0,False,False,False,False,gpt-3.5-turbo-instruct vs. Stockfish 0,33,15.852885007858276
