prompt,completion
"[White ""Stockfish""]
[Black ""Stockfish""]",1.d4 Nf6 2.Nf3 d5 3.c4 e6 4.Nc3 Be7 5.Bf4 O-O 6.e3 c5 7.Be2 cxd4 8.Nxd4 Nbd7 9.Bg3 dxc4 10.Bxc4 Nb6 11.Bb3 Bd7 12.O-O Rc8 13.Qf3 Bc6 14.Nxc6 Rxc6 15.Rfd1 Qc8 16.h3 Nc4 17.Bxc4 Rxc4 18.Rac1 Qc6 19.Qxc6 Rxc6 20.Nb5 Rxc1 21.Rxc1 a6 22.Nd6 Bxd6 23.Bxd6 Rd8 24.Be7 Re8 25.Ba3 h6 26.Rc7 b5 27.Ra7 Nd5 28.Bc5 Rc8 29.b4 Rc6 30.Kf1 Nc3 31.a3 Nb1 32.Ke2 Nxa3 33.Kd3 Nc4 34.f4 a5 35.Rb7 axb4 36.Rxb5 Nb2+ 37.Kd4 Nd1 38.Bxb4 Rc2 39.g4 Nf2 40.Rb8+ Kh7 41.Rb7 Kg8 42.Rb8+ Kh7 43.Rb7 Kg8 44.Rb8+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.Nf3 Nf6 2.c4 c5 3.Nc3 Nc6 4.g3 g6 5.Bg2 Bg7 6.O-O O-O 7.d4 d6 8.dxc5 dxc5 9.Be3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 O-O 7.e4 Na6 8.Be2 c5 9.d5 e6 10.O-O exd5 11.exd5 Re8 12.Bg5 h6 13.Be3 Bf5 14.Rad1 Ne4 15.Nxe4 Bxe4 16.Qc1 Qf6 17.Bxh6 Qxb2 18.Qxb2 Bxb2 19.Ng5 Bd4 20.Nxe4 Rxe4 21.Bf3 Re7 22.d6 Rd7 23.Bf4 Nb4 24.Rd2 Re8 25.Rc1 Re6 26.h4 Be5 27.Bxe5 Rxe5 28.Bxb7 Rxb7 29.d7 Nc6 30.d8=Q+ Nxd8 31.Rxd8+ Kg7 32.Rd2 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.O-O e5 5.d3 Ne7 6.e4 O-O 7.Nc3 d4 8.Ne2 c5 9.Nd2 Nbc6 10.f4 Be6 11.Nf3 exf4 12.Nxf4 Bg4 13.h3 Bxf3 14.Qxf3 Ne5 15.Qe2 Qd7 16.Bd2 Rae8 17.b3 N5c6 18.h4 h5 19.Bh3 Qd6 20.g4 hxg4 21.Qxg4 f5 22.exf5 Ne5 23.Qg2 Nxf5 24.Bxf5 Rxf5 25.Nh3 Ref8 26.Rxf5 Rxf5 27.Rf1 Rxf1+ 28.Kxf1 Qf6+ 29.Nf4 Kh7 30.Qxb7 Qxh4 31.Qg2 Qf6 32.Ke2 Bh6 33.Qe4 Bxf4 34.Bxf4 Nc6 35.a3 Qh4 36.Bd6 Qh5+ 37.Kd2 Qg5+ 38.Kd1 Qg1+ 39.Qe1 Qg2 40.Kc1 Qd5 41.Bf8 g5 42.Kb2 Ne5 43.Qa5 Nxd3+ 44.cxd3 Qg2+ 45.Kc1 Qf1+ 46.Kc2 Qxf8 47.Qxa7+ Kg6 48.b4 cxb4 49.Qb6+ Kh5 50.axb4 Qf2+ 51.Kb3 g4 52.Qc5+ Kh4 53.Qe7+ Kh5 54.b5 g3 55.b6 g2 56.Qh7+ Kg4 57.Qe4+ Kg5 58.Qe5+ Kg6 59.Qe6+ Kg5 60.Qe5+ Kg4 61.Qe4+ Kg5 62.Qe5+ Qf5 63.Qg3+ Qg4 64.Qe5+ Kh4 65.Qh2+ Kg5 66.Qe5+ Kg6 67.Qd6+ Kf7 68.Qc7+ Kf6 69.Qd8+ Kf5 70.Qd7+ Kg5 71.Qg7+ Kf4 72.Qxd4+ Kf3 73.Qd5+ Ke2 74.Qe5+ Kf2 75.Qc5+ Kf3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.Re1 Nf6 6.h3 a6 7.Bf1 g5 8.d4 g4 9.d5 gxf3 10.dxc6 Bxc6 11.Qxf3 Nd7 12.Nc3 e6 13.Qg3 Qe7 14.Nd5 Bxd5 15.exd5 e5 16.b4 cxb4 17.Rb1 a5 18.a3 f5 19.axb4 a4 20.Bb5 Bg7 21.Ra1 O-O 22.Rxa4 Rac8 23.Ra7 Nf6 24.c4 Kh8 25.Qg5 Qc7 26.Qxf5 Nxd5 27.Qd7 Qxd7 28.Bxd7 Rxc4 29.Be6 Rd4 30.Bxd5 Rxd5 31.Rxb7 Rd3 32.Be3 d5 33.Bc5 Rc8 34.b5 e4 35.b6 Rc3 36.Rxg7 R3xc5 37.Rd7 Rb5 38.b7 Rb8 39.Rd1 R8xb7 40.Rxb7 Rxb7 41.Rxd5 Kg7 42.Re5 Rb4 43.g4 Kf6 44.Rh5 Rb7 45.Kg2 Re7 46.Kf1 Kg6 47.Ke2 Rf7 48.Re5 Rf4 49.Re6+ Kg5 50.Re5+ Kg6 51.Re6+ Kg5 52.Re5+ Kg6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.Bg5 d5 3.e3 c5 4.Bxf6 gxf6 5.dxc5 Nc6 6.Bb5 e6 7.c4 dxc4 8.Nd2 Bxc5 9.Ngf3 O-O 10.O-O Na5 11.Rc1 Be7 12.Qc2 Bd7 13.Bxd7 Qxd7 14.Qc3 Qd5 15.Nxc4 Nxc4 16.Qxc4 Qxc4 17.Rxc4 Rfc8 18.Rfc1 Rxc4 19.Rxc4 Rd8 20.g3 Rd7 21.Kf1 f5 22.Ke2 Bf6 23.b3 Kf8 24.h3 h6 25.Ne1 Ke7 26.Nd3 Kd8 27.f4 h5 28.a4 Rd5 29.Nc5 b6 30.Na6 Be7 31.Nb8 a5 32.Nc6+ Ke8 33.Ne5 Bc5 34.Rc3 Ke7 35.Rd3 Rxd3 36.Kxd3 f6 37.Nc6+ Kd6 38.Nd4 Kd5 39.Nb5 Kc6 40.Nd4+ Kd6 41.Nb5+ Kd7 42.Nd4 Kd6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5 8.cxd5 Nxd5 9.Nxd5 exd5 10.a3 Nc6 11.Bd3 Bb6 12.O-O Bg4 13.h3 Bh5 14.b4 Re8 15.Rc1 a6 16.Bxa6 Rxa6 17.b5 Rxa3 18.bxc6 bxc6 19.Rxc6 Ra7 20.Qb3 Bxf3 21.Rxb6 Be2 22.Rb1 Bc4 23.Qc3 Rae7 24.f3 f6 25.Qd4 Qc8 26.e4 dxe4 27.Rc1 e3 28.Qxc4+ Qxc4 29.Rxc4 e2 30.Bg3 e1=Q+ 31.Bxe1 Rxe1+ 32.Kh2 R1e7 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 5.a3 Bxc3+ 6.Qxc3 Ne4 7.Qc2 c5 8.dxc5 Nc6 9.Nf3 Qa5+ 10.Bd2 Qxc5 11.e3 Nxd2 12.Nxd2 O-O 13.Bd3 h6 14.cxd5 Qxd5 15.Bh7+ Kh8 16.Be4 Qb5 17.Bd3 Qd5 18.Be4 Qb5 19.Bd3 Qd5 20.Be4 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Bc4 Bg7 7.O-O O-O 8.Re1 Bg4 9.f3 Bd7 10.Be3 Nc6 11.a4 Ne5 12.Bf1 Rc8 13.a5 a6 14.Nd5 Nxd5 15.exd5 Nc4 16.Bxc4 Rxc4 17.c3 Re8 18.Nc2 Ra4 19.Bb6 Rxa1 20.Qxa1 Qc8 21.Ne3 e5 22.dxe6 Rxe6 23.Qd1 Qe8 24.Kf2 Qe7 25.g3 Qg5 26.Qd5 Qxd5 27.Nxd5 Rxe1 28.Kxe1 Kf8 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.c4 e6 2.Nc3 d5 3.d4 Be7 4.Nf3 Nf6 5.Bf4 O-O 6.e3 Nbd7 7.a3 c5 8.cxd5 Nxd5 9.Nxd5 exd5 10.dxc5 Nxc5 11.Be5 Bf6 12.Bxf6 Qxf6 13.Qd4 Qe7 14.Qf4 Qe4 15.Qxe4 dxe4 16.Nd4 Be6 17.Be2 Rfd8 18.O-O Nb3 19.Nxe6 fxe6 20.Rad1 Kf7 21.f4 Kf6 22.Kf2 Nd2 23.Rfe1 Rac8 24.Rc1 Nb3 25.Rc4 Rxc4 26.Bxc4 Nc5 27.Ke2 b5 28.Ba2 Nd3 29.Rd1 Rc8 30.Bb1 Nxb2 31.Rd7 Na4 32.Bxe4 Nc5 33.Rd4 Nxe4 34.Rxe4 Rc2+ 35.Kf3 Ra2 36.Rb4 a6 37.Rb3 Ke7 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7 4.Bxd7+ Qxd7 5.c4 Nf6 6.Nc3 g6 7.d4 cxd4 8.Nxd4 Bg7 9.h3 O-O 10.Be3 Rc8 11.b3 a6 12.a4 e6 13.Rc1 b6 14.O-O Qb7 15.Nf3 Rd8 16.e5 Ne8 17.Bf4 Nc6 18.exd6 e5 19.Be3 Rxd6 20.Qe2 Nd4 21.Bxd4 exd4 22.Nd5 Nf6 23.Nxf6+ Bxf6 24.Qd3 Re8 25.Rfe1 Rde6 26.Kf1 Rxe1+ 27.Rxe1 Rxe1+ 28.Nxe1 Qe7 29.c5 Qxc5 30.Qxa6 Qc1 31.Qc4 Qd1 32.Qc2 Qa1 33.Ke2 Kg7 34.Nd3 Qa3 35.Qc4 Qa2+ 36.Kd1 Qb1+ 37.Ke2 Qa2+ 38.Kf3 Qb1 39.Ke2 Qa2+ 40.Kd1 Qb1+ 41.Ke2 Qa2+ 42.Kf1 Qb1+ 43.Ne1 h5 44.Qc2 Qa1 45.Ke2 Qa3 46.Nd3 Qe7+ 47.Kf1 Qe4 48.Qc4 Bg5 49.Qb5 Bf6 50.b4 Qe6 51.a5 Qb3 52.axb6 Qb1+ 53.Ke2 Qc2+ 54.Ke1 Qb1+ 55.Kd2 Qa2+ 56.Kd1 Qb1+ 57.Nc1 d3 58.Qxd3 Qxb4 59.Qb3 Qd6+ 60.Nd3 Bd4 61.b7 Ba7 62.Kd2 Bb8 63.g3 Qd7 64.h4 Qd6 65.Qc3+ Kh7 66.Qc8 Kg7 67.Ke2 Ba7 68.Qc3+ Kh7 69.Qb3 Kg7 70.Kf1 Kg8 71.Qb5 Bb8 72.Kg2 Kg7 73.Qc4 Qd7 74.Qe4 Qb5 75.Ne1 Qd7 76.Nf3 Kg8 77.Nd4 Kg7 78.Ne2 Kg8 79.Nc3 Kg7 80.Qd5 Qe7 81.Ne4 Ba7 82.Nd6 Bb8 83.Nc4 Qc7 84.Na5 Ba7 85.Nc4 Bb8 86.Nd2 Ba7 87.Ne4 Qe7 88.Qc6 Qe5 89.Qc3 Bd4 90.Qf3 Ba7 91.Ng5 Qc7 92.Qd5 Qe7 93.Nf3 Bb8 94.Qc6 Ba7 95.Qc3+ f6 96.Qb3 Qe2 97.b8=Q Qxf2+ 98.Kh3 Qf1+ 99.Kh2 Qf2+ 100.Kh3 Qf1+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 g6 3.Nf3 Bg7 4.g3 c6 5.Bg2 Qa5+ 6.Bd2 Qa6 7.b3 b5 8.cxb5 cxb5 9.a4 Bb7 10.Nc3 bxa4 11.Nxa4 Qb5 12.Nc3 Qb6 13.Na4 Qd8 14.O-O O-O 15.Nc5 Bc6 16.Ba5 Qc8 17.Qb1 d6 18.Nd3 Qb7 19.Rc1 Rc8 20.Nb4 Be4 21.Rxc8+ Qxc8 22.Qc1 Nbd7 23.Nd2 Bxg2 24.Qxc8+ Rxc8 25.Kxg2 d5 26.e3 e6 27.Nd3 Bf8 28.Ra2 Ne4 29.Nxe4 dxe4 30.Ne5 Nxe5 31.dxe5 Rb8 32.b4 Rb7 33.Rc2 Rb5 34.Rc8 Rxe5 35.Bc7 Rd5 36.Ra8 Rd7 37.Be5 f5 38.Bd4 Kf7 39.b5 Bd6 40.Rxa7 Rxa7 41.Bxa7 Ke8 42.f3 exf3+ 43.Kxf3 g5 44.h3 h5 45.Bd4 g4+ 46.hxg4 fxg4+ 47.Kf2 Kd7 48.e4 Kc7 49.e5 Ba3 50.Ke3 Bc1+ 51.Ke4 Kb7 52.Bf2 Bg5 53.Bd4 Bd2 54.Bf2 Kc7 55.Bc5 Be1 56.Kf4 Bd2+ 57.Be3 Be1 58.Bd4 Kb7 59.Be3 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 5.Nxc6 bxc6 6.e5 Qe7 7.Qe2 Nd5 8.c4 Ba6 9.Nd2 g6 10.b3 Bg7 11.Bb2 Nb4 12.O-O-O Nxa2+ 13.Kb1 Nb4 14.Ne4 O-O 15.Qf3 Rfe8 16.Nf6+ Bxf6 17.exf6 Qc5 18.h4 d5 19.Qf4 dxc4 20.bxc4 Rab8 21.Qh6 Qf8 22.Qxf8+ Kxf8 23.h5 Bc8 24.hxg6 fxg6 25.Rxh7 Bf5+ 26.Ka1 Nc2+ 27.Ka2 Nb4+ 28.Ka1 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Ba6 5.b3 Bb4+ 6.Bd2 Be7 7.Bg2 c6 8.Bc3 d5 9.Ne5 Nfd7 10.Nxd7 Nxd7 11.Nd2 O-O 12.O-O Rc8 13.e4 b5 14.Re1 dxe4 15.Nxe4 bxc4 16.Qe2 Rb8 17.Bf1 Nb6 18.Nc5 Bb5 19.a4 Nd5 20.Qf3 Bxc5 21.dxc5 Ba6 22.bxc4 Nxc3 23.Qxc3 Qf6 24.Qxf6 gxf6 25.Red1 Rfd8 26.Bg2 Rxd1+ 27.Rxd1 Rb4 28.h4 Rxc4 29.Rd7 Rxc5 30.Rxa7 Bc4 31.Rc7 Bd5 32.Bxd5 exd5 33.a5 Rxa5 34.Rxc6 Kg7 35.Kg2 h5 36.Rd6 Kg6 37.Rd7 Rb5 38.Kf3 Rb3+ 39.Ke2 Rb2+ 40.Ke3 Rb5 41.Kf3 f5 42.Rd6+ f6 43.Rd7 Rb3+ 44.Kf4 Rd3 45.Rd8 Rd4+ 46.Ke3 Re4+ 47.Kf3 d4 48.Rd7 Rg4 49.Rd5 f4 50.Rxd4 fxg3 51.Rxg4+ hxg4+ 52.Kxg3 Kh5 53.Kf4 Kxh4 54.Kf5 g3 55.fxg3+ Kxg3 56.Kxf6 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Bc5 6.c3 Qc7 7.O-O Nf6 8.f4 d6 9.Kh1 Nc6 10.Nxc6 bxc6 11.Nd2 h5 12.Qe2 e5 13.Nb3 Bg4 14.Qe1 Ba7 15.fxe5 dxe5 16.Bg5 Nh7 17.Be3 Nf8 18.h3 Qd6 19.Bxa7 Rxa7 20.Qf2 Re7 21.Bxa6 Bd7 22.Qa7 Ne6 23.Qa8+ Nd8 24.Rad1 Qc7 25.Nc5 O-O 26.Nxd7 Rxd7 27.Rxd7 Qxd7 28.Qb8 Qe7 29.Bc4 Qc5 30.Qb4 Qe3 31.a4 c5 32.Qb5 Qxe4 33.Qxc5 Nb7 34.Qc7 Nd6 35.Qxd6 Qxc4 36.Ra1 e4 37.a5 e3 38.Qe5 Qe2 39.b4 Rd8 40.a6 Rd2 41.Qe8+ Kh7 42.Qe4+ f5 43.Qxf5+ g6 44.Qe4 Rd1+ 45.Rxd1 Qxd1+ 46.Kh2 Qd6+ 47.Kg1 Qd1+ 48.Kh2 Qd6+ 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 a6 5.Bd3 Bg4 6.Nbd2 e6 7.h3 Bf5 8.Bxf5 exf5 9.Qb3 Ra7 10.cxd5 cxd5 11.Ne5 Bd6 12.O-O O-O 13.Ndf3 Nc6 14.Bd2 Ne4 15.Rfd1 Ne7 16.Rac1 f6 17.Nd3 b6 18.Bb4 a5 19.Bxd6 Qxd6 20.Rc2 g5 21.Rdc1 Rb8 22.Qb5 Qd7 23.Qxd7 Rxd7 24.Nd2 Kf7 25.Nb1 Nd6 26.Nd2 Ng6 27.Nb1 Ne7 28.b3 Rc8 29.Rxc8 Ndxc8 30.Nc3 Nd6 31.Na4 Rb7 32.Kf1 h6 33.Nc3 Rc7 34.Na4 Rb7 35.Nc3 Rc7 36.Na4 
"[White ""Magnus Carlsen""]
[Black ""Stockfish""]",1.d4 d6 2.e4 g6 3.Nf3 Bg7 4.Be2 Nc6 5.O-O e5 6.dxe5 dxe5 7.Qxd8+ Nxd8 8.Nc3 Ne6 9.Bc4 c6 10.Ng5 Nd8 11.Rd1 Nh6 12.a4 f6 13.Nf3 Nhf7 14.a5 Be6 15.Be2 Bf8 16.Be3 Nd6 17.Nd2 N8f7 18.f3 Bh6 19.Bf2 Rd8 20.Nb3 Bxb3 21.cxb3 a6 22.Na4 Nc8 23.Nc5 Rxd1+ 24.Rxd1 Nfd6 25.Nxb7 Nxb7 26.Bxa6 Nbd6 27.Bxc8 Nxc8 28.a6 Rf8 29.a7 Nxa7 30.Bxa7 Rf7 31.Bc5 Rb7 32.b4 Bf8 33.Bxf8 Kxf8 34.Rd6 Ke7 35.Rxc6 Rxb4 36.Rc7+ 
